2026-03-29 18:32:52.135 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 2956 (D:\JAVAweb\web-ai-project02\tlias-web-management\target\classes started by 27628 in D:\JAVAweb\web-ai-project02)
2026-03-29 18:49:29.101 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:29.489 [http-nio-8080-exec-2] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:29.732 [http-nio-8080-exec-4] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:30.329 [http-nio-8080-exec-3] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:31.052 [http-nio-8080-exec-7] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:33.892 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:34.568 [http-nio-8080-exec-8] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:44.449 [http-nio-8080-exec-4] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:46.814 [http-nio-8080-exec-9] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:47.054 [http-nio-8080-exec-7] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:47.373 [http-nio-8080-exec-6] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:47.565 [http-nio-8080-exec-10] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:47.841 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:49.728 [http-nio-8080-exec-4] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:50.069 [http-nio-8080-exec-2] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:50.398 [http-nio-8080-exec-7] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:50.765 [http-nio-8080-exec-3] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:51.084 [http-nio-8080-exec-5] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:51.425 [http-nio-8080-exec-10] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:51.751 [http-nio-8080-exec-8] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:52.005 [http-nio-8080-exec-4] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:57.005 [http-nio-8080-exec-9] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:49:57.330 [http-nio-8080-exec-7] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:04.970 [http-nio-8080-exec-6] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:05.484 [http-nio-8080-exec-5] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:06.424 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:06.790 [http-nio-8080-exec-8] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:07.828 [http-nio-8080-exec-2] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:08.139 [http-nio-8080-exec-9] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:18.848 [http-nio-8080-exec-6] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:20.603 [http-nio-8080-exec-3] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:23.268 [http-nio-8080-exec-10] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:50:24.125 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:52:25.608 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 18:52:27.043 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2026-03-29 18:52:27.047 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2026-03-29 18:52:27.055 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2026-03-29 18:53:17.919 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 27204 (D:\JAVAweb\web-ai-project02\tlias-web-management\target\classes started by 27628 in D:\JAVAweb\web-ai-project02)
2026-03-29 18:53:17.922 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2026-03-29 18:53:18.927 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-03-29 18:53:18.940 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
